Call Type,Call Date,Dispatch DtTm,On Scene DtTm,Dispatch to On Scene duration,Neighborhooods - Analysis Boundaries
Medical Incident,01/25/2019,01/25/2019 11:49:15 AM,01/25/2019 11:53:01 AM,3,Visitacion Valley
Medical Incident,12/13/2018,12/13/2018 7:11:22 PM,12/13/2018 7:15:12 PM,3,Visitacion Valley
Medical Incident,12/12/2018,12/12/2018 12:33:09 PM,12/12/2018 12:36:59 PM,3,Visitacion Valley
Medical Incident,12/13/2018,12/13/2018 5:29:20 PM,12/13/2018 5:33:10 PM,3,Visitacion Valley
Medical Incident,01/21/2019,01/21/2019 6:50:53 PM,01/21/2019 6:54:45 PM,3,Visitacion Valley
Medical Incident,02/10/2019,02/10/2019 1:41:49 AM,02/10/2019 1:45:43 AM,3,Visitacion Valley
Medical Incident,12/25/2018,12/25/2018 3:19:16 AM,12/25/2018 3:23:11 AM,3,Visitacion Valley
Medical Incident,02/04/2019,02/04/2019 12:14:16 PM,02/04/2019 12:18:12 PM,3,Visitacion Valley
Medical Incident,02/22/2019,02/22/2019 3:30:25 PM,02/22/2019 3:34:21 PM,3,Visitacion Valley
Medical Incident,12/14/2018,12/14/2018 6:57:55 PM,12/14/2018 7:01:56 PM,4,Visitacion Valley
Medical Incident,12/24/2018,12/24/2018 11:43:39 PM,12/24/2018 11:47:41 PM,4,Visitacion Valley
Medical Incident,02/15/2019,02/15/2019 3:54:54 PM,02/15/2019 3:58:57 PM,4,Visitacion Valley
Medical Incident,01/03/2019,01/03/2019 4:40:42 PM,01/03/2019 4:44:46 PM,4,Visitacion Valley
Medical Incident,12/20/2018,12/20/2018 7:28:42 AM,12/20/2018 7:32:47 AM,4,Visitacion Valley
Medical Incident,12/25/2018,12/25/2018 11:05:25 AM,12/25/2018 11:09:30 AM,4,Visitacion Valley
Medical Incident,01/21/2019,01/21/2019 5:18:44 AM,01/21/2019 5:22:52 AM,4,Visitacion Valley
Medical Incident,01/06/2019,01/06/2019 11:15:59 PM,01/06/2019 11:20:07 PM,4,Visitacion Valley
Medical Incident,12/22/2018,12/22/2018 4:49:22 PM,12/22/2018 4:53:31 PM,4,Visitacion Valley
Medical Incident,02/19/2019,02/19/2019 9:03:30 PM,02/19/2019 9:07:39 PM,4,Visitacion Valley
Medical Incident,12/04/2018,12/04/2018 6:05:53 PM,12/04/2018 6:10:04 PM,4,Visitacion Valley
Medical Incident,01/02/2019,01/02/2019 12:59:07 AM,01/02/2019 1:03:18 AM,4,Visitacion Valley
Medical Incident,02/13/2019,02/13/2019 9:13:43 AM,02/13/2019 9:17:54 AM,4,Visitacion Valley
Medical Incident,01/02/2019,01/02/2019 6:10:55 PM,01/02/2019 6:15:07 PM,4,Visitacion Valley
Medical Incident,01/20/2019,01/20/2019 11:31:44 AM,01/20/2019 11:35:57 AM,4,Visitacion Valley
Medical Incident,01/23/2019,01/23/2019 8:38:54 AM,01/23/2019 8:43:08 AM,4,Visitacion Valley
Medical Incident,02/17/2019,02/17/2019 12:08:59 PM,02/17/2019 12:13:15 PM,4,Visitacion Valley
Medical Incident,12/11/2018,12/11/2018 1:10:35 PM,12/11/2018 1:14:51 PM,4,Visitacion Valley
Medical Incident,01/02/2019,01/02/2019 1:56:30 PM,01/02/2019 2:00:49 PM,4,Visitacion Valley
Medical Incident,02/13/2019,02/13/2019 9:02:26 PM,02/13/2019 9:06:46 PM,4,Visitacion Valley
Medical Incident,12/14/2018,12/14/2018 8:10:28 PM,12/14/2018 8:14:49 PM,4,Visitacion Valley
Medical Incident,01/25/2019,01/25/2019 10:36:12 AM,01/25/2019 10:40:36 AM,4,Visitacion Valley
Medical Incident,02/22/2019,02/22/2019 10:15:47 PM,02/22/2019 10:20:11 PM,4,Visitacion Valley
Medical Incident,01/23/2019,01/23/2019 8:38:54 AM,01/23/2019 8:43:21 AM,4,Visitacion Valley
Medical Incident,12/21/2018,12/21/2018 12:41:40 PM,12/21/2018 12:46:07 PM,4,Visitacion Valley
Medical Incident,12/09/2018,12/09/2018 10:30:08 PM,12/09/2018 10:34:38 PM,4,Visitacion Valley
Medical Incident,01/16/2019,01/16/2019 2:29:53 PM,01/16/2019 2:34:24 PM,4,Visitacion Valley
Medical Incident,01/29/2019,01/29/2019 7:56:27 PM,01/29/2019 8:00:58 PM,4,Visitacion Valley
Medical Incident,12/07/2018,12/07/2018 6:50:49 AM,12/07/2018 6:55:23 AM,4,Visitacion Valley
Medical Incident,12/20/2018,12/20/2018 6:37:07 PM,12/20/2018 6:41:42 PM,4,Visitacion Valley
Medical Incident,01/24/2019,01/24/2019 8:14:59 PM,01/24/2019 8:19:34 PM,4,Visitacion Valley
Medical Incident,02/24/2019,02/24/2019 5:00:24 AM,02/24/2019 5:05:01 AM,4,Visitacion Valley
Medical Incident,12/08/2018,12/08/2018 3:57:04 AM,12/08/2018 4:01:43 AM,4,Visitacion Valley
Medical Incident,12/22/2018,12/22/2018 7:30:19 AM,12/22/2018 7:34:59 AM,4,Visitacion Valley
Medical Incident,02/19/2019,02/19/2019 1:27:17 PM,02/19/2019 1:31:58 PM,4,Visitacion Valley
Medical Incident,12/25/2018,12/25/2018 4:03:17 PM,12/25/2018 4:07:58 PM,4,Visitacion Valley
Medical Incident,01/06/2019,01/06/2019 2:46:22 PM,01/06/2019 2:51:04 PM,4,Visitacion Valley
Medical Incident,01/23/2019,01/23/2019 11:18:32 AM,01/23/2019 11:23:15 AM,4,Visitacion Valley
Medical Incident,01/25/2019,01/25/2019 3:18:36 PM,01/25/2019 3:23:19 PM,4,Visitacion Valley
Medical Incident,12/31/2018,12/31/2018 3:07:56 PM,12/31/2018 3:12:41 PM,4,Visitacion Valley
Medical Incident,01/04/2019,01/04/2019 2:57:18 PM,01/04/2019 3:02:03 PM,4,Visitacion Valley
Medical Incident,01/15/2019,01/15/2019 12:25:46 PM,01/15/2019 12:30:31 PM,4,Visitacion Valley
Medical Incident,01/02/2019,01/02/2019 8:36:45 PM,01/02/2019 8:41:31 PM,4,Visitacion Valley
Medical Incident,01/08/2019,01/08/2019 7:28:48 AM,01/08/2019 7:33:34 AM,4,Visitacion Valley
Medical Incident,12/28/2018,12/28/2018 3:39:17 AM,12/28/2018 3:44:05 AM,4,Visitacion Valley
Medical Incident,01/24/2019,01/24/2019 9:32:43 PM,01/24/2019 9:37:32 PM,4,Visitacion Valley
Medical Incident,02/09/2019,02/09/2019 12:19:30 PM,02/09/2019 12:24:20 PM,4,Visitacion Valley
Medical Incident,12/25/2018,12/25/2018 2:42:11 AM,12/25/2018 2:47:02 AM,4,Visitacion Valley
Medical Incident,02/21/2019,02/21/2019 12:22:04 PM,02/21/2019 12:26:55 PM,4,Visitacion Valley
Medical Incident,12/20/2018,12/20/2018 7:28:42 AM,12/20/2018 7:33:34 AM,4,Visitacion Valley
Medical Incident,02/14/2019,02/14/2019 11:02:51 PM,02/14/2019 11:07:46 PM,4,Visitacion Valley
Medical Incident,02/26/2019,02/26/2019 8:47:19 PM,02/26/2019 8:52:14 PM,4,Visitacion Valley
Medical Incident,01/24/2019,01/24/2019 8:14:59 PM,01/24/2019 8:19:54 PM,4,Visitacion Valley
Medical Incident,12/22/2018,12/22/2018 4:49:22 PM,12/22/2018 4:54:19 PM,4,Visitacion Valley
Medical Incident,02/27/2019,02/27/2019 5:58:29 PM,02/27/2019 6:03:26 PM,4,Visitacion Valley
Medical Incident,12/01/2018,12/01/2018 9:34:23 AM,12/01/2018 9:39:21 AM,4,Visitacion Valley
Medical Incident,02/23/2019,02/23/2019 7:51:29 AM,02/23/2019 7:56:27 AM,4,Visitacion Valley
Medical Incident,12/13/2018,12/13/2018 9:59:39 PM,12/13/2018 10:04:38 PM,4,Visitacion Valley
Medical Incident,02/27/2019,02/27/2019 10:41:01 PM,02/27/2019 10:46:00 PM,4,Visitacion Valley
Medical Incident,12/21/2018,12/21/2018 8:42:11 PM,12/21/2018 8:47:11 PM,5,Visitacion Valley
Medical Incident,01/25/2019,01/25/2019 1:46:06 AM,01/25/2019 1:51:07 AM,5,Visitacion Valley
Medical Incident,02/18/2019,02/18/2019 10:13:32 PM,02/18/2019 10:18:33 PM,5,Visitacion Valley
Medical Incident,01/20/2019,01/20/2019 10:14:31 PM,01/20/2019 10:19:33 PM,5,Visitacion Valley
Medical Incident,02/01/2019,02/01/2019 7:51:11 AM,02/01/2019 7:56:14 AM,5,Visitacion Valley
Medical Incident,12/12/2018,12/12/2018 8:38:47 PM,12/12/2018 8:43:51 PM,5,Visitacion Valley
Medical Incident,01/07/2019,01/07/2019 7:47:26 PM,01/07/2019 7:52:30 PM,5,Visitacion Valley
Medical Incident,02/27/2019,02/27/2019 7:58:26 AM,02/27/2019 8:03:30 AM,5,Visitacion Valley
Medical Incident,01/04/2019,01/04/2019 2:57:18 PM,01/04/2019 3:02:23 PM,5,Visitacion Valley
Medical Incident,02/12/2019,02/12/2019 11:59:48 PM,02/13/2019 12:04:55 AM,5,Visitacion Valley
Medical Incident,02/19/2019,02/19/2019 11:13:47 PM,02/19/2019 11:18:54 PM,5,Visitacion Valley
Medical Incident,01/02/2019,01/02/2019 7:23:25 PM,01/02/2019 7:28:35 PM,5,Visitacion Valley
Medical Incident,01/08/2019,01/08/2019 10:48:41 AM,01/08/2019 10:53:51 AM,5,Visitacion Valley
Medical Incident,01/26/2019,01/26/2019 11:58:30 AM,01/26/2019 12:03:42 PM,5,Visitacion Valley
Medical Incident,02/02/2019,02/02/2019 4:32:47 PM,02/02/2019 4:38:04 PM,5,Visitacion Valley
Medical Incident,02/10/2019,02/10/2019 2:26:22 AM,02/10/2019 2:31:40 AM,5,Visitacion Valley
Medical Incident,12/16/2018,12/16/2018 3:31:24 PM,12/16/2018 3:36:44 PM,5,Visitacion Valley
Medical Incident,12/22/2018,12/22/2018 11:06:43 AM,12/22/2018 11:12:04 AM,5,Visitacion Valley
Medical Incident,12/11/2018,12/11/2018 1:10:35 PM,12/11/2018 1:15:56 PM,5,Visitacion Valley
Medical Incident,02/12/2019,02/12/2019 6:31:13 AM,02/12/2019 6:36:36 AM,5,Visitacion Valley
Medical Incident,12/23/2018,12/23/2018 10:22:29 AM,12/23/2018 10:27:52 AM,5,Visitacion Valley
Medical Incident,01/15/2019,01/15/2019 11:16:41 AM,01/15/2019 11:22:04 AM,5,Visitacion Valley
Medical Incident,02/10/2019,02/10/2019 3:56:40 PM,02/10/2019 4:02:03 PM,5,Visitacion Valley
Medical Incident,12/24/2018,12/24/2018 7:13:42 AM,12/24/2018 7:19:06 AM,5,Visitacion Valley
Medical Incident,12/02/2018,12/02/2018 8:10:14 AM,12/02/2018 8:15:38 AM,5,Visitacion Valley
Medical Incident,01/09/2019,01/09/2019 5:07:09 AM,01/09/2019 5:12:33 AM,5,Visitacion Valley
Medical Incident,02/27/2019,02/27/2019 8:55:16 AM,02/27/2019 9:00:42 AM,5,Visitacion Valley
Medical Incident,12/07/2018,12/07/2018 6:50:49 AM,12/07/2018 6:56:17 AM,5,Visitacion Valley
Medical Incident,01/16/2019,01/16/2019 11:09:18 AM,01/16/2019 11:14:46 AM,5,Visitacion Valley
Medical Incident,02/24/2019,02/24/2019 2:23:33 AM,02/24/2019 2:29:01 AM,5,Visitacion Valley
Medical Incident,02/24/2019,02/24/2019 5:01:38 AM,02/24/2019 5:07:07 AM,5,Visitacion Valley
Medical Incident,01/09/2019,01/09/2019 10:40:03 PM,01/09/2019 10:45:34 PM,5,Visitacion Valley
Medical Incident,12/26/2018,12/26/2018 5:02:19 AM,12/26/2018 5:07:52 AM,5,Visitacion Valley
Medical Incident,12/22/2018,12/22/2018 11:17:23 PM,12/22/2018 11:22:59 PM,5,Visitacion Valley
Medical Incident,12/29/2018,12/29/2018 12:41:06 AM,12/29/2018 12:46:44 AM,5,Visitacion Valley
Medical Incident,12/28/2018,12/28/2018 3:01:53 AM,12/28/2018 3:07:32 AM,5,Visitacion Valley
Medical Incident,12/18/2018,12/18/2018 12:20:12 PM,12/18/2018 12:25:52 PM,5,Visitacion Valley
Medical Incident,01/14/2019,01/14/2019 3:04:39 PM,01/14/2019 3:10:20 PM,5,Visitacion Valley
Medical Incident,01/23/2019,01/23/2019 11:46:17 PM,01/23/2019 11:51:59 PM,5,Visitacion Valley
Medical Incident,02/28/2019,02/28/2019 3:54:48 PM,02/28/2019 4:00:32 PM,5,Visitacion Valley
Medical Incident,02/19/2019,02/19/2019 8:46:03 AM,02/19/2019 8:51:49 AM,5,Visitacion Valley
Medical Incident,01/02/2019,01/02/2019 12:59:07 AM,01/02/2019 1:04:54 AM,5,Visitacion Valley
Medical Incident,01/06/2019,01/06/2019 11:15:59 PM,01/06/2019 11:21:46 PM,5,Visitacion Valley
Medical Incident,02/28/2019,02/28/2019 10:42:19 PM,02/28/2019 10:48:06 PM,5,Visitacion Valley
Medical Incident,12/10/2018,12/10/2018 2:40:04 PM,12/10/2018 2:45:54 PM,5,Visitacion Valley
Medical Incident,02/24/2019,02/24/2019 1:17:50 PM,02/24/2019 1:23:40 PM,5,Visitacion Valley
Medical Incident,01/25/2019,01/25/2019 6:40:35 AM,01/25/2019 6:46:28 AM,5,Visitacion Valley
Medical Incident,12/18/2018,12/18/2018 4:22:53 AM,12/18/2018 4:28:46 AM,5,Visitacion Valley
Medical Incident,02/19/2019,02/19/2019 9:03:30 PM,02/19/2019 9:09:24 PM,5,Visitacion Valley
Medical Incident,12/18/2018,12/18/2018 4:22:53 AM,12/18/2018 4:28:48 AM,5,Visitacion Valley
Medical Incident,01/29/2019,01/29/2019 9:00:14 AM,01/29/2019 9:06:11 AM,5,Visitacion Valley
Medical Incident,01/12/2019,01/12/2019 10:49:58 PM,01/12/2019 10:55:56 PM,5,Visitacion Valley
Medical Incident,01/29/2019,01/29/2019 7:56:27 PM,01/29/2019 8:02:26 PM,5,Visitacion Valley
Medical Incident,01/31/2019,01/31/2019 6:44:05 PM,01/31/2019 6:50:04 PM,5,Visitacion Valley
Medical Incident,12/19/2018,12/19/2018 3:53:24 AM,12/19/2018 3:59:24 AM,6,Visitacion Valley
Medical Incident,12/21/2018,12/21/2018 12:41:40 PM,12/21/2018 12:47:42 PM,6,Visitacion Valley
Medical Incident,12/05/2018,12/05/2018 5:24:14 AM,12/05/2018 5:30:17 AM,6,Visitacion Valley
Medical Incident,01/28/2019,01/28/2019 3:50:38 PM,01/28/2019 3:56:46 PM,6,Visitacion Valley
Medical Incident,12/28/2018,12/28/2018 3:39:17 AM,12/28/2018 3:45:26 AM,6,Visitacion Valley
Medical Incident,02/08/2019,02/08/2019 1:52:03 AM,02/08/2019 1:58:12 AM,6,Visitacion Valley
Medical Incident,12/01/2018,12/01/2018 7:51:45 AM,12/01/2018 7:57:55 AM,6,Visitacion Valley
Medical Incident,12/25/2018,12/25/2018 5:57:33 PM,12/25/2018 6:03:44 PM,6,Visitacion Valley
Medical Incident,12/06/2018,12/06/2018 6:56:33 AM,12/06/2018 7:02:47 AM,6,Visitacion Valley
Medical Incident,12/09/2018,12/09/2018 10:30:08 PM,12/09/2018 10:36:22 PM,6,Visitacion Valley
Medical Incident,01/27/2019,01/27/2019 7:56:53 PM,01/27/2019 8:03:07 PM,6,Visitacion Valley
Medical Incident,01/20/2019,01/20/2019 9:32:52 PM,01/20/2019 9:39:07 PM,6,Visitacion Valley
Medical Incident,01/03/2019,01/03/2019 3:48:36 AM,01/03/2019 3:54:52 AM,6,Visitacion Valley
Medical Incident,01/16/2019,01/16/2019 11:08:28 AM,01/16/2019 11:14:45 AM,6,Visitacion Valley
Medical Incident,12/22/2018,12/22/2018 3:10:33 AM,12/22/2018 3:16:51 AM,6,Visitacion Valley
Medical Incident,01/28/2019,01/28/2019 3:50:38 PM,01/28/2019 3:56:56 PM,6,Visitacion Valley
Medical Incident,01/20/2019,01/20/2019 11:31:44 AM,01/20/2019 11:38:03 AM,6,Visitacion Valley
Medical Incident,12/12/2018,12/12/2018 8:38:47 PM,12/12/2018 8:45:08 PM,6,Visitacion Valley
Medical Incident,12/25/2018,12/25/2018 2:43:32 AM,12/25/2018 2:49:53 AM,6,Visitacion Valley
Medical Incident,01/09/2019,01/09/2019 11:53:51 AM,01/09/2019 12:00:16 PM,6,Visitacion Valley
Medical Incident,12/22/2018,12/22/2018 3:10:33 AM,12/22/2018 3:17:00 AM,6,Visitacion Valley
Medical Incident,12/22/2018,12/22/2018 9:09:38 PM,12/22/2018 9:16:05 PM,6,Visitacion Valley
Medical Incident,01/06/2019,01/06/2019 8:57:15 AM,01/06/2019 9:03:43 AM,6,Visitacion Valley
Medical Incident,12/11/2018,12/11/2018 12:24:39 AM,12/11/2018 12:31:09 AM,6,Visitacion Valley
Medical Incident,12/13/2018,12/13/2018 12:01:24 PM,12/13/2018 12:07:55 PM,6,Visitacion Valley
Medical Incident,01/27/2019,01/27/2019 7:56:53 PM,01/27/2019 8:03:26 PM,6,Visitacion Valley
Medical Incident,12/13/2018,12/13/2018 12:01:24 PM,12/13/2018 12:07:58 PM,6,Visitacion Valley
Medical Incident,01/23/2019,01/23/2019 11:18:32 AM,01/23/2019 11:25:07 AM,6,Visitacion Valley
Medical Incident,01/03/2019,01/03/2019 10:27:03 AM,01/03/2019 10:33:42 AM,6,Visitacion Valley
Medical Incident,12/01/2018,12/01/2018 7:49:52 AM,12/01/2018 7:56:32 AM,6,Visitacion Valley
Medical Incident,02/28/2019,02/28/2019 3:07:32 PM,02/28/2019 3:14:12 PM,6,Visitacion Valley
Medical Incident,01/24/2019,01/24/2019 8:15:36 PM,01/24/2019 8:22:17 PM,6,Visitacion Valley
Medical Incident,12/25/2018,12/25/2018 2:37:47 AM,12/25/2018 2:44:29 AM,6,Visitacion Valley
Medical Incident,12/23/2018,12/23/2018 9:02:17 AM,12/23/2018 9:09:00 AM,6,Visitacion Valley
Medical Incident,02/27/2019,02/27/2019 7:58:26 AM,02/27/2019 8:05:09 AM,6,Visitacion Valley
Medical Incident,12/12/2018,12/12/2018 5:09:48 AM,12/12/2018 5:16:34 AM,6,Visitacion Valley
Medical Incident,12/13/2018,12/13/2018 9:59:39 PM,12/13/2018 10:06:26 PM,6,Visitacion Valley
Medical Incident,12/16/2018,12/16/2018 11:44:59 AM,12/16/2018 11:51:46 AM,6,Visitacion Valley
Medical Incident,01/02/2019,01/02/2019 8:36:45 PM,01/02/2019 8:43:33 PM,6,Visitacion Valley
Medical Incident,01/15/2019,01/15/2019 11:16:41 AM,01/15/2019 11:23:30 AM,6,Visitacion Valley
Medical Incident,12/02/2018,12/02/2018 9:48:23 AM,12/02/2018 9:55:13 AM,6,Visitacion Valley
Medical Incident,01/13/2019,01/13/2019 6:33:40 PM,01/13/2019 6:40:30 PM,6,Visitacion Valley
Medical Incident,01/22/2019,01/22/2019 3:36:41 AM,01/22/2019 3:43:32 AM,6,Visitacion Valley
Medical Incident,12/05/2018,12/05/2018 5:24:14 AM,12/05/2018 5:31:08 AM,6,Visitacion Valley
Medical Incident,02/18/2019,02/18/2019 10:13:32 PM,02/18/2019 10:20:26 PM,6,Visitacion Valley
Medical Incident,01/03/2019,01/03/2019 8:05:43 PM,01/03/2019 8:12:41 PM,6,Visitacion Valley
Medical Incident,12/08/2018,12/08/2018 3:28:55 PM,12/08/2018 3:35:54 PM,6,Visitacion Valley
Medical Incident,01/24/2019,01/24/2019 7:20:41 AM,01/24/2019 7:27:40 AM,6,Visitacion Valley
Medical Incident,01/22/2019,01/22/2019 1:35:58 PM,01/22/2019 1:42:58 PM,7,Visitacion Valley
Medical Incident,01/23/2019,01/23/2019 11:46:17 PM,01/23/2019 11:53:17 PM,7,Visitacion Valley
Medical Incident,02/17/2019,02/17/2019 3:30:18 AM,02/17/2019 3:37:20 AM,7,Visitacion Valley
Medical Incident,02/03/2019,02/03/2019 12:24:51 PM,02/03/2019 12:31:54 PM,7,Visitacion Valley
Medical Incident,02/03/2019,02/03/2019 10:24:36 PM,02/03/2019 10:31:40 PM,7,Visitacion Valley
Medical Incident,12/14/2018,12/14/2018 8:10:28 PM,12/14/2018 8:17:33 PM,7,Visitacion Valley
Medical Incident,01/26/2019,01/26/2019 5:04:46 AM,01/26/2019 5:11:53 AM,7,Visitacion Valley
Medical Incident,02/26/2019,02/26/2019 8:47:19 PM,02/26/2019 8:54:28 PM,7,Visitacion Valley
Medical Incident,02/15/2019,02/15/2019 6:46:37 AM,02/15/2019 6:53:47 AM,7,Visitacion Valley
Medical Incident,02/26/2019,02/26/2019 11:41:07 AM,02/26/2019 11:48:18 AM,7,Visitacion Valley
Medical Incident,01/12/2019,01/12/2019 10:04:00 AM,01/12/2019 10:11:12 AM,7,Visitacion Valley
Medical Incident,02/18/2019,02/18/2019 7:27:00 AM,02/18/2019 7:34:12 AM,7,Visitacion Valley
Medical Incident,12/05/2018,12/05/2018 12:11:09 PM,12/05/2018 12:18:22 PM,7,Visitacion Valley
